Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
World,WLD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.95297020265588,2.93623153596698,3.35475770328918,4.82239636013318,3.72532666110647,2.62105001748115,2.34626865671643,1.43431763373063,1.55001641722147,2.19201010963043,2.43873655522938,2.20607305781522,1.90566358695521,3.42362947609175
Germany,DEU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.62838174873985,0.31273762987172,1.10380916115812,2.07517452479837,2.0084909216701,1.5047209800535,0.906797948515676,0.51442053951781,0.49174862477081,1.50949655801608,1.73216766075662,1.4456670146976,0.506689889953274,3.14296967309964
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,8.34926704907579,10.8823529411765,11.9893899204244,8.85836096636665,9.31244560487383,11.0636747834422,6.64950015146925,4.90697344127255,4.94821634062141,3.32817337461299,3.94506866416981,3.7232764833053,6.62343677628531,..
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,5.92525137041095,-0.728165250932952,3.17532475269199,5.55389892257492,2.61952432645544,2.62105001748115,1.92164162788521,1.43702380935655,2.00000182191941,1.59313600071434,2.07479039965578,2.89923416358227,2.4194218945778,0.981015135544851
United Kingdom,GBR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.52140856342537,1.96173173560107,2.49265472467065,3.85611244682819,2.57323479654528,2.29166666666666,1.45112016293279,0.368046842325369,1.00841736811403,2.55775577557754,2.29283990345939,1.73810460086511,0.98948670377243,2.51837109614205
United States,USA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.83910029665101,-0.35554626629975,1.64004344238989,3.15684156862206,2.06933726526059,1.46483265562714,1.62222297740821,0.118627135552435,1.26158320570537,2.13011000365963,2.44258329692818,1.81221007526015,1.23358439630637,4.69785886363739
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,
Last Updated: 04/27/2022,,,,,,,,,,,,,,,,,
